step_time,total_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
248.0,26,26.0,4041.0,61,52
249.0,23,23.0,4064.0,61,54
250.0,20,20.0,4084.0,61,54
251.0,19,19.0,4103.0,62,54
252.0,18,18.0,4121.0,63,56
253.0,16,16.0,4137.0,64,56
254.0,16,16.0,4153.0,65,56
255.0,14,14.0,4167.0,66,57
256.0,10,10.0,4177.0,66,58
257.0,9,9.0,4186.0,66,59
258.0,8,19.0,4205.0,68,59
259.0,9,9.0,4214.0,68,60
260.0,7,7.0,4221.0,69,61
261.0,7,7.0,4228.0,70,61
262.0,8,8.0,4236.0,70,61
263.0,7,7.0,4243.0,71,63
264.0,7,7.0,4250.0,72,63
265.0,8,8.0,4258.0,72,65
266.0,8,8.0,4266.0,74,65
267.0,8,8.0,4274.0,74,65
268.0,9,18.0,4292.0,74,67
269.0,11,11.0,4303.0,76,67
270.0,11,11.0,4314.0,76,68
271.0,11,16.0,4330.0,77,68
272.0,11,11.0,4341.0,78,68
273.0,11,11.0,4352.0,78,69
274.0,11,11.0,4363.0,79,69
275.0,11,14.0,4377.0,80,69
276.0,11,11.0,4388.0,80,70
277.0,11,11.0,4399.0,81,70
278.0,12,13.0,4412.0,81,70
279.0,12,12.0,4424.0,81,71
280.0,12,13.0,4437.0,82,71
281.0,13,13.0,4450.0,82,72
282.0,13,13.0,4463.0,82,73
283.0,13,13.0,4476.0,83,73
284.0,13,13.0,4489.0,83,73
285.0,13,13.0,4502.0,84,75
286.0,13,13.0,4515.0,84,75
287.0,13,13.0,4528.0,84,76
288.0,13,13.0,4541.0,85,76
289.0,13,13.0,4554.0,85,76
290.0,14,14.0,4568.0,86,77
291.0,14,14.0,4582.0,87,77
292.0,14,14.0,4596.0,88,78
293.0,14,14.0,4610.0,88,78
294.0,14,14.0,4624.0,88,79
295.0,14,14.0,4638.0,90,80
296.0,14,14.0,4652.0,90,80
297.0,13,13.0,4665.0,91,81
298.0,11,11.0,4676.0,92,81
299.0,13,13.0,4689.0,92,81
300.0,12,12.0,4701.0,92,81
301.0,12,12.0,4713.0,94,81
302.0,14,14.0,4727.0,94,81
303.0,17,17.0,4744.0,95,81
304.0,16,16.0,4760.0,95,81
305.0,16,16.0,4776.0,96,81
306.0,17,17.0,4793.0,96,81
307.0,17,17.0,4810.0,96,81
308.0,20,20.0,4830.0,96,81
309.0,20,20.0,4850.0,96,81
310.0,21,21.0,4871.0,96,81
311.0,21,21.0,4892.0,96,81
312.0,21,21.0,4913.0,96,81
313.0,22,22.0,4935.0,97,81
314.0,22,22.0,4957.0,97,81
315.0,20,20.0,4977.0,97,82
316.0,18,18.0,4995.0,97,83
317.0,17,17.0,5012.0,97,83
318.0,15,15.0,5027.0,97,83
319.0,17,17.0,5044.0,99,84
320.0,15,15.0,5059.0,99,85
321.0,18,18.0,5077.0,99,85
322.0,20,20.0,5097.0,100,85
323.0,23,23.0,5120.0,100,86
324.0,24,24.0,5144.0,101,87
325.0,23,23.0,5167.0,101,87
326.0,25,25.0,5192.0,101,87
327.0,27,27.0,5219.0,103,87
328.0,26,26.0,5245.0,103,88
329.0,30,30.0,5275.0,104,88
330.0,29,29.0,5304.0,104,88
331.0,31,31.0,5335.0,104,88
332.0,32,32.0,5367.0,104,88
333.0,35,35.0,5402.0,104,88
334.0,36,36.0,5438.0,104,88
335.0,35,35.0,5473.0,104,88
336.0,36,36.0,5509.0,104,88
337.0,37,37.0,5546.0,104,88
338.0,38,38.0,5584.0,104,88
339.0,38,38.0,5622.0,104,88
340.0,36,36.0,5658.0,104,88
341.0,36,36.0,5694.0,104,88
342.0,36,36.0,5730.0,104,89
343.0,35,35.0,5765.0,104,89
344.0,37,37.0,5802.0,104,90
345.0,37,37.0,5839.0,105,90
346.0,39,39.0,5878.0,105,91
347.0,39,39.0,5917.0,106,91
348.0,38,38.0,5955.0,106,91
349.0,40,40.0,5995.0,106,91
350.0,38,38.0,6033.0,106,91
351.0,41,41.0,6074.0,106,91
352.0,38,38.0,6112.0,106,91
353.0,38,38.0,6150.0,106,91
354.0,35,35.0,6185.0,106,91
355.0,32,32.0,6217.0,106,92
356.0,30,30.0,6247.0,106,92
357.0,29,29.0,6276.0,106,93
358.0,25,25.0,6301.0,107,94
359.0,31,31.0,6332.0,108,95
360.0,29,29.0,6361.0,108,96
361.0,27,27.0,6388.0,109,96
362.0,24,24.0,6412.0,110,96
363.0,22,22.0,6434.0,110,98
364.0,22,22.0,6456.0,111,98
365.0,18,18.0,6474.0,112,99
366.0,17,17.0,6491.0,112,100
367.0,18,18.0,6509.0,113,100
368.0,15,15.0,6524.0,114,102
369.0,13,13.0,6537.0,114,102
370.0,14,14.0,6551.0,116,103
371.0,10,10.0,6561.0,116,104
372.0,8,8.0,6569.0,116,104
373.0,7,31.0,6600.0,118,105
374.0,8,8.0,6608.0,118,106
375.0,7,12.0,6620.0,119,106
376.0,8,8.0,6628.0,119,106
377.0,8,8.0,6636.0,120,107
378.0,7,7.0,6643.0,121,107
379.0,7,7.0,6650.0,121,107
380.0,7,7.0,6657.0,122,109
381.0,7,7.0,6664.0,123,109
382.0,7,7.0,6671.0,123,109
383.0,6,30.0,6701.0,125,109
384.0,5,5.0,6706.0,125,109
385.0,6,6.0,6712.0,125,109
386.0,6,31.0,6743.0,126,109
387.0,8,8.0,6751.0,126,109
388.0,9,9.0,6760.0,126,109
389.0,10,36.0,6796.0,127,109
390.0,12,13.0,6809.0,127,109
391.0,14,14.0,6823.0,127,109
392.0,14,14.0,6837.0,127,109
393.0,13,13.0,6850.0,127,109
394.0,16,16.0,6866.0,127,109
395.0,11,11.0,6877.0,127,109
396.0,10,10.0,6887.0,127,109
397.0,12,12.0,6899.0,127,109
398.0,11,11.0,6910.0,127,109
399.0,11,11.0,6921.0,129,110
400.0,16,16.0,6937.0,129,111
401.0,15,15.0,6952.0,129,111
402.0,18,18.0,6970.0,131,112
403.0,18,18.0,6988.0,131,113
404.0,17,17.0,7005.0,131,113
405.0,19,19.0,7024.0,131,113
406.0,20,20.0,7044.0,131,113
407.0,19,19.0,7063.0,131,113
408.0,23,23.0,7086.0,131,113
409.0,22,22.0,7108.0,131,113
410.0,25,25.0,7133.0,131,113
411.0,27,27.0,7160.0,131,113
412.0,26,26.0,7186.0,131,113
413.0,27,27.0,7213.0,132,113
414.0,29,29.0,7242.0,132,113
415.0,29,29.0,7271.0,132,113
416.0,30,30.0,7301.0,132,113
417.0,34,34.0,7335.0,132,113
418.0,35,35.0,7370.0,132,113
419.0,35,35.0,7405.0,132,114
420.0,38,38.0,7443.0,132,114
421.0,35,35.0,7478.0,132,114
422.0,37,37.0,7515.0,132,114
423.0,37,37.0,7552.0,132,114
424.0,39,39.0,7591.0,132,115
425.0,39,39.0,7630.0,133,115
