departed,travel_time
2316.0,69.0
2328.0,57.0
2340.0,57.0
2353.0,45.0
2365.0,43.0
2377.0,42.0
2389.0,147.0
2402.0,135.0
2426.0,128.0
2438.0,116.0
2414.0,142.0
2450.0,106.0
2463.0,93.0
2499.0,60.0
2487.0,74.0
2512.0,50.0
2475.0,89.0
2524.0,50.0
2536.0,48.0
2548.0,44.0
2561.0,46.0
2573.0,142.0
2597.0,137.0
2610.0,124.0
2622.0,116.0
2634.0,107.0
2659.0,83.0
2585.0,159.0
2732.0,53.0
2757.0,138.0
2806.0,105.0
2830.0,84.0
2793.0,123.0
2855.0,63.0
2781.0,138.0
2867.0,52.0
2818.0,102.0
2842.0,81.0
2879.0,45.0
2891.0,37.0
2646.0,295.0
2671.0,273.0
2904.0,40.0
2683.0,267.0
2916.0,50.0
2928.0,147.0
2940.0,137.0
2965.0,127.0
2953.0,140.0
2977.0,119.0
2989.0,107.0
3002.0,94.0
3014.0,88.0
3051.0,51.0
3038.0,65.0
3026.0,78.0
3063.0,43.0
2695.0,419.0
3075.0,45.0
2708.0,414.0
2720.0,405.0
2744.0,386.0
2769.0,365.0
3087.0,48.0
3099.0,40.0
3112.0,39.0
3148.0,128.0
3136.0,141.0
3161.0,117.0
3124.0,156.0
3173.0,109.0
3197.0,87.0
3210.0,74.0
3185.0,100.0
3234.0,53.0
3222.0,66.0
3246.0,44.0
3259.0,50.0
3271.0,48.0
3283.0,48.0
3295.0,141.0
3320.0,130.0
3332.0,119.0
3308.0,147.0
3344.0,111.0
3357.0,100.0
3369.0,91.0
3393.0,67.0
3381.0,82.0
3406.0,58.0
3418.0,49.0
3430.0,41.0
3442.0,51.0
3455.0,41.0
3467.0,46.0
3479.0,138.0
3516.0,113.0
3504.0,128.0
3491.0,144.0
3540.0,95.0
3553.0,83.0
3577.0,62.0
3528.0,115.0
3589.0,54.0
3565.0,81.0
3601.0,56.0
3617.0,59.0
3633.0,45.0
3648.0,148.0
3664.0,174.0
3679.0,164.0
3695.0,153.0
3710.0,141.0
3803.0,54.0
3819.0,47.0
3834.0,142.0
3850.0,140.0
3881.0,110.0
3912.0,84.0
3865.0,132.0
3943.0,54.0
3896.0,103.0
3958.0,42.0
3927.0,75.0
3974.0,45.0
3726.0,294.0
3741.0,282.0
3757.0,272.0
3772.0,260.0
3989.0,48.0
4005.0,48.0
4020.0,138.0
4051.0,125.0
4067.0,109.0
4114.0,62.0
4036.0,142.0
4083.0,95.0
4098.0,83.0
4129.0,52.0
3788.0,410.0
4145.0,59.0
4160.0,47.0
4176.0,42.0
4207.0,127.0
4191.0,146.0
4222.0,132.0
4269.0,85.0
4253.0,102.0
4238.0,118.0
4284.0,72.0
4315.0,48.0
4346.0,52.0
4362.0,52.0
4377.0,137.0
4408.0,123.0
4439.0,96.0
4393.0,144.0
4455.0,83.0
4486.0,52.0
4470.0,72.0
4501.0,47.0
4300.0,260.0
4331.0,233.0
4517.0,55.0
4533.0,49.0
4548.0,148.0
4564.0,134.0
4610.0,98.0
