step_time,step_stopped,step_wait_time,accumulated_wait_time
344.0,0,10.0,2629.0
345.0,0,10.0,2639.0
346.0,0,10.0,2649.0
347.0,0,10.0,2659.0
348.0,0,10.0,2669.0
349.0,0,10.0,2679.0
350.0,0,10.0,2689.0
351.0,1,11.0,2700.0
352.0,0,10.0,2710.0
353.0,1,11.0,2721.0
354.0,1,12.0,2733.0
355.0,2,14.0,2747.0
356.0,0,13.0,2760.0
357.0,1,14.0,2774.0
358.0,0,12.0,2786.0
359.0,0,12.0,2798.0
360.0,0,12.0,2810.0
361.0,1,13.0,2823.0
362.0,1,14.0,2837.0
363.0,1,15.0,2852.0
364.0,0,11.0,2863.0
365.0,0,9.0,2872.0
366.0,0,8.0,2880.0
367.0,1,8.0,2888.0
368.0,0,8.0,2896.0
369.0,0,7.0,2903.0
370.0,0,6.0,2909.0
371.0,0,5.0,2914.0
372.0,1,6.0,2920.0
373.0,0,5.0,2925.0
374.0,1,6.0,2931.0
375.0,0,5.0,2936.0
376.0,0,5.0,2941.0
377.0,0,5.0,2946.0
378.0,0,5.0,2951.0
379.0,1,6.0,2957.0
380.0,0,6.0,2963.0
381.0,0,5.0,2968.0
382.0,0,5.0,2973.0
383.0,0,5.0,2978.0
384.0,0,5.0,2983.0
385.0,0,5.0,2988.0
386.0,1,6.0,2994.0
387.0,0,6.0,3000.0
388.0,0,6.0,3006.0
389.0,0,6.0,3012.0
390.0,0,6.0,3018.0
391.0,0,6.0,3024.0
392.0,0,6.0,3030.0
393.0,0,6.0,3036.0
394.0,1,7.0,3043.0
395.0,0,7.0,3050.0
396.0,0,7.0,3057.0
397.0,0,7.0,3064.0
398.0,1,8.0,3072.0
399.0,0,7.0,3079.0
400.0,0,7.0,3086.0
401.0,1,8.0,3094.0
402.0,0,8.0,3102.0
403.0,0,8.0,3110.0
404.0,1,9.0,3119.0
405.0,1,9.0,3128.0
406.0,1,6.0,3134.0
407.0,0,5.0,3139.0
408.0,2,7.0,3146.0
409.0,0,7.0,3153.0
410.0,0,6.0,3159.0
411.0,1,7.0,3166.0
412.0,0,7.0,3173.0
413.0,1,8.0,3181.0
414.0,0,8.0,3189.0
415.0,0,8.0,3197.0
416.0,0,8.0,3205.0
417.0,0,8.0,3213.0
418.0,2,10.0,3223.0
419.0,0,10.0,3233.0
420.0,0,9.0,3242.0
421.0,0,8.0,3250.0
422.0,0,7.0,3257.0
423.0,0,6.0,3263.0
424.0,1,7.0,3270.0
425.0,0,6.0,3276.0
426.0,1,6.0,3282.0
427.0,1,6.0,3288.0
428.0,1,6.0,3294.0
429.0,1,6.0,3300.0
430.0,1,7.0,3307.0
431.0,0,7.0,3314.0
432.0,0,7.0,3321.0
433.0,0,7.0,3328.0
434.0,0,7.0,3335.0
435.0,1,8.0,3343.0
436.0,0,7.0,3350.0
437.0,2,9.0,3359.0
438.0,0,9.0,3368.0
439.0,0,7.0,3375.0
440.0,0,4.0,3379.0
441.0,1,5.0,3384.0
442.0,1,6.0,3390.0
443.0,0,6.0,3396.0
444.0,1,7.0,3403.0
445.0,0,7.0,3410.0
446.0,0,7.0,3417.0
447.0,1,8.0,3425.0
448.0,0,7.0,3432.0
449.0,2,9.0,3441.0
450.0,0,7.0,3448.0
451.0,1,7.0,3455.0
452.0,2,9.0,3464.0
453.0,1,8.0,3472.0
454.0,0,8.0,3480.0
455.0,2,9.0,3489.0
456.0,3,12.0,3501.0
457.0,0,11.0,3512.0
458.0,0,11.0,3523.0
459.0,1,12.0,3535.0
460.0,0,11.0,3546.0
461.0,2,13.0,3559.0
462.0,1,14.0,3573.0
463.0,0,14.0,3587.0
464.0,1,15.0,3602.0
465.0,1,15.0,3617.0
466.0,2,17.0,3634.0
467.0,0,17.0,3651.0
468.0,0,17.0,3668.0
469.0,1,18.0,3686.0
470.0,0,18.0,3704.0
471.0,0,17.0,3721.0
472.0,1,18.0,3739.0
473.0,0,18.0,3757.0
474.0,0,18.0,3775.0
475.0,2,20.0,3795.0
476.0,0,20.0,3815.0
477.0,0,20.0,3835.0
478.0,2,22.0,3857.0
479.0,0,21.0,3878.0
480.0,0,21.0,3899.0
481.0,0,21.0,3920.0
482.0,0,21.0,3941.0
483.0,0,21.0,3962.0
484.0,0,21.0,3983.0
485.0,1,22.0,4005.0
486.0,1,22.0,4027.0
487.0,1,23.0,4050.0
488.0,1,24.0,4074.0
489.0,0,24.0,4098.0
490.0,0,24.0,4122.0
491.0,0,24.0,4146.0
492.0,0,24.0,4170.0
493.0,0,24.0,4194.0
494.0,1,25.0,4219.0
495.0,2,27.0,4246.0
496.0,0,27.0,4273.0
497.0,0,27.0,4300.0
498.0,0,27.0,4327.0
499.0,0,27.0,4354.0
500.0,0,27.0,4381.0
501.0,0,27.0,4408.0
502.0,0,27.0,4435.0
503.0,0,27.0,4462.0
504.0,0,27.0,4489.0
505.0,1,28.0,4517.0
506.0,0,28.0,4545.0
507.0,1,29.0,4574.0
508.0,1,29.0,4603.0
509.0,0,28.0,4631.0
510.0,1,29.0,4660.0
511.0,0,23.0,4683.0
512.0,1,20.0,4703.0
513.0,0,18.0,4721.0
514.0,0,17.0,4738.0
515.0,0,16.0,4754.0
516.0,0,16.0,4770.0
517.0,0,16.0,4786.0
518.0,1,17.0,4803.0
519.0,1,18.0,4821.0
520.0,0,18.0,4839.0
521.0,0,18.0,4857.0
522.0,0,18.0,4875.0
523.0,0,18.0,4893.0
524.0,0,17.0,4910.0
525.0,0,16.0,4926.0
526.0,0,15.0,4941.0
527.0,0,14.0,4955.0
528.0,0,13.0,4968.0
529.0,0,12.0,4980.0
530.0,0,12.0,4992.0
531.0,0,12.0,5004.0
532.0,1,13.0,5017.0
533.0,0,13.0,5030.0
534.0,2,15.0,5045.0
535.0,0,14.0,5059.0
536.0,1,15.0,5074.0
537.0,0,15.0,5089.0
538.0,1,16.0,5105.0
539.0,0,15.0,5120.0
540.0,0,15.0,5135.0
541.0,2,17.0,5152.0
542.0,0,16.0,5168.0
543.0,0,16.0,5184.0
544.0,0,12.0,5196.0
545.0,2,11.0,5207.0
546.0,0,10.0,5217.0
547.0,0,9.0,5226.0
548.0,1,9.0,5235.0
549.0,1,10.0,5245.0
550.0,0,9.0,5254.0
551.0,1,10.0,5264.0
552.0,0,10.0,5274.0
553.0,0,10.0,5284.0
554.0,0,10.0,5294.0
555.0,0,10.0,5304.0
556.0,1,11.0,5315.0
557.0,0,11.0,5326.0
558.0,0,11.0,5337.0
559.0,0,11.0,5348.0
560.0,0,11.0,5359.0
561.0,0,11.0,5370.0
562.0,1,12.0,5382.0
563.0,0,12.0,5394.0
564.0,0,12.0,5406.0
565.0,0,12.0,5418.0
566.0,1,13.0,5431.0
567.0,0,12.0,5443.0
568.0,0,11.0,5454.0
569.0,0,10.0,5464.0
570.0,0,10.0,5474.0
571.0,0,9.0,5483.0
572.0,0,8.0,5491.0
573.0,0,7.0,5498.0
574.0,1,7.0,5505.0
575.0,0,6.0,5511.0
576.0,0,6.0,5517.0
577.0,1,7.0,5524.0
578.0,0,7.0,5531.0
579.0,0,7.0,5538.0
580.0,0,7.0,5545.0
581.0,0,7.0,5552.0
582.0,1,8.0,5560.0
583.0,0,8.0,5568.0
584.0,0,8.0,5576.0
585.0,2,10.0,5586.0
586.0,1,7.0,5593.0
587.0,1,7.0,5600.0
588.0,1,8.0,5608.0
589.0,1,9.0,5617.0
590.0,0,9.0,5626.0
591.0,0,9.0,5635.0
592.0,0,9.0,5644.0
593.0,0,9.0,5653.0
594.0,1,10.0,5663.0
595.0,0,10.0,5673.0
596.0,0,10.0,5683.0
597.0,0,10.0,5693.0
598.0,0,10.0,5703.0
599.0,0,10.0,5713.0
600.0,0,10.0,5723.0
601.0,0,10.0,5733.0
602.0,0,10.0,5743.0
603.0,0,10.0,5753.0
604.0,0,10.0,5763.0
605.0,0,10.0,5773.0
606.0,1,11.0,5784.0
607.0,0,11.0,5795.0
608.0,0,11.0,5806.0
609.0,0,11.0,5817.0
610.0,1,12.0,5829.0
611.0,0,12.0,5841.0
612.0,1,13.0,5854.0
613.0,0,13.0,5867.0
614.0,0,13.0,5880.0
615.0,2,15.0,5895.0
616.0,0,15.0,5910.0
617.0,1,16.0,5926.0
618.0,0,15.0,5941.0
619.0,1,14.0,5955.0
620.0,0,12.0,5967.0
621.0,1,13.0,5980.0
622.0,0,13.0,5993.0
623.0,0,13.0,6006.0
624.0,0,13.0,6019.0
625.0,0,13.0,6032.0
626.0,0,13.0,6045.0
627.0,0,13.0,6058.0
628.0,0,12.0,6070.0
629.0,0,11.0,6081.0
630.0,1,9.0,6090.0
631.0,0,7.0,6097.0
632.0,0,7.0,6104.0
633.0,0,7.0,6111.0
634.0,1,8.0,6119.0
635.0,0,8.0,6127.0
636.0,0,8.0,6135.0
637.0,0,8.0,6143.0
638.0,0,8.0,6151.0
639.0,0,8.0,6159.0
640.0,0,8.0,6167.0
641.0,1,9.0,6176.0
642.0,1,9.0,6185.0
643.0,1,10.0,6195.0
644.0,1,11.0,6206.0
645.0,0,10.0,6216.0
646.0,1,11.0,6227.0
647.0,0,11.0,6238.0
648.0,0,11.0,6249.0
649.0,0,11.0,6260.0
650.0,2,13.0,6273.0
651.0,0,12.0,6285.0
652.0,1,13.0,6298.0
653.0,1,14.0,6312.0
654.0,1,15.0,6327.0
655.0,0,14.0,6341.0
656.0,2,16.0,6357.0
657.0,0,16.0,6373.0
658.0,0,16.0,6389.0
659.0,0,16.0,6405.0
660.0,1,17.0,6422.0
661.0,1,18.0,6440.0
662.0,0,18.0,6458.0
663.0,1,19.0,6477.0
664.0,0,18.0,6495.0
665.0,1,19.0,6514.0
666.0,0,19.0,6533.0
667.0,0,19.0,6552.0
668.0,1,20.0,6572.0
669.0,0,20.0,6592.0
670.0,1,21.0,6613.0
671.0,1,22.0,6635.0
672.0,2,23.0,6658.0
673.0,1,22.0,6680.0
674.0,2,24.0,6704.0
675.0,0,23.0,6727.0
676.0,1,24.0,6751.0
677.0,1,25.0,6776.0
678.0,1,26.0,6802.0
679.0,0,25.0,6827.0
680.0,1,26.0,6853.0
681.0,0,26.0,6879.0
682.0,0,26.0,6905.0
683.0,0,26.0,6931.0
684.0,2,28.0,6959.0
685.0,0,28.0,6987.0
686.0,1,29.0,7016.0
687.0,0,29.0,7045.0
688.0,0,29.0,7074.0
689.0,1,30.0,7104.0
690.0,0,30.0,7134.0
691.0,0,23.0,7157.0
692.0,0,17.0,7174.0
693.0,1,16.0,7190.0
694.0,1,17.0,7207.0
695.0,0,16.0,7223.0
696.0,0,16.0,7239.0
697.0,0,16.0,7255.0
698.0,0,16.0,7271.0
699.0,0,16.0,7287.0
700.0,0,16.0,7303.0
701.0,1,17.0,7320.0
702.0,0,17.0,7337.0
703.0,0,17.0,7354.0
704.0,0,17.0,7371.0
705.0,0,17.0,7388.0
706.0,0,17.0,7405.0
707.0,0,17.0,7422.0
708.0,0,17.0,7439.0
709.0,0,17.0,7456.0
710.0,0,17.0,7473.0
711.0,0,17.0,7490.0
712.0,0,17.0,7507.0
713.0,0,17.0,7524.0
714.0,1,18.0,7542.0
715.0,0,17.0,7559.0
716.0,2,19.0,7578.0
717.0,0,19.0,7597.0
718.0,1,20.0,7617.0
719.0,0,19.0,7636.0
720.0,2,21.0,7657.0
721.0,0,21.0,7678.0
722.0,1,22.0,7700.0
723.0,0,22.0,7722.0
724.0,0,18.0,7740.0
725.0,0,15.0,7755.0
726.0,0,12.0,7767.0
727.0,0,11.0,7778.0
728.0,0,11.0,7789.0
729.0,0,11.0,7800.0
730.0,0,11.0,7811.0
731.0,1,12.0,7823.0
732.0,0,12.0,7835.0
733.0,0,11.0,7846.0
734.0,0,11.0,7857.0
735.0,0,11.0,7868.0
736.0,0,11.0,7879.0
737.0,0,11.0,7890.0
738.0,0,11.0,7901.0
739.0,1,12.0,7913.0
740.0,0,11.0,7924.0
741.0,1,12.0,7936.0
742.0,0,12.0,7948.0
743.0,0,12.0,7960.0
744.0,0,12.0,7972.0
745.0,0,12.0,7984.0
746.0,0,12.0,7996.0
747.0,0,11.0,8007.0
748.0,0,10.0,8017.0
749.0,0,10.0,8027.0
750.0,0,9.0,8036.0
751.0,0,8.0,8044.0
752.0,0,8.0,8052.0
753.0,0,7.0,8059.0
754.0,0,6.0,8065.0
755.0,0,6.0,8071.0
756.0,0,6.0,8077.0
757.0,0,6.0,8083.0
758.0,0,6.0,8089.0
759.0,0,6.0,8095.0
760.0,0,6.0,8101.0
761.0,0,6.0,8107.0
762.0,0,6.0,8113.0
763.0,0,6.0,8119.0
764.0,1,7.0,8126.0
765.0,0,6.0,8132.0
766.0,1,4.0,8136.0
767.0,0,3.0,8139.0
768.0,1,4.0,8143.0
769.0,0,4.0,8147.0
770.0,0,4.0,8151.0
771.0,0,4.0,8155.0
772.0,1,5.0,8160.0
773.0,0,4.0,8164.0
774.0,1,5.0,8169.0
775.0,0,5.0,8174.0
776.0,0,5.0,8179.0
777.0,0,5.0,8184.0
778.0,0,5.0,8189.0
779.0,0,5.0,8194.0
780.0,0,5.0,8199.0
781.0,0,5.0,8204.0
782.0,0,5.0,8209.0
783.0,0,5.0,8214.0
784.0,0,5.0,8219.0
785.0,0,5.0,8224.0
786.0,0,5.0,8229.0
787.0,1,6.0,8235.0
788.0,0,6.0,8241.0
789.0,1,7.0,8248.0
790.0,0,6.0,8254.0
791.0,1,7.0,8261.0
792.0,1,8.0,8269.0
793.0,0,8.0,8277.0
794.0,0,8.0,8285.0
795.0,1,9.0,8294.0
796.0,0,8.0,8302.0
797.0,0,8.0,8310.0
798.0,1,9.0,8319.0
799.0,0,7.0,8326.0
800.0,1,6.0,8332.0
801.0,1,7.0,8339.0
802.0,0,6.0,8345.0
803.0,0,6.0,8351.0
804.0,1,7.0,8358.0
805.0,1,7.0,8365.0
806.0,0,7.0,8372.0
807.0,0,7.0,8379.0
808.0,0,7.0,8386.0
809.0,1,8.0,8394.0
810.0,0,5.0,8399.0
811.0,1,5.0,8404.0
812.0,0,5.0,8409.0
813.0,0,4.0,8413.0
814.0,0,4.0,8417.0
815.0,0,4.0,8421.0
816.0,0,4.0,8425.0
817.0,0,4.0,8429.0
818.0,1,5.0,8434.0
819.0,1,6.0,8440.0
820.0,0,6.0,8446.0
821.0,0,6.0,8452.0
822.0,1,7.0,8459.0
823.0,0,7.0,8466.0
824.0,1,8.0,8474.0
825.0,0,8.0,8482.0
826.0,1,9.0,8491.0
827.0,0,9.0,8500.0
828.0,1,10.0,8510.0
829.0,1,11.0,8521.0
830.0,0,10.0,8531.0
831.0,0,10.0,8541.0
832.0,1,11.0,8552.0
833.0,0,11.0,8563.0
834.0,0,11.0,8574.0
835.0,0,11.0,8585.0
836.0,2,13.0,8598.0
837.0,0,11.0,8609.0
838.0,3,14.0,8623.0
839.0,1,14.0,8637.0
840.0,1,14.0,8651.0
841.0,1,15.0,8666.0
842.0,0,15.0,8681.0
843.0,0,15.0,8696.0
844.0,1,16.0,8712.0
845.0,0,16.0,8728.0
846.0,0,16.0,8744.0
847.0,1,17.0,8761.0
848.0,1,18.0,8779.0
849.0,0,18.0,8797.0
850.0,0,18.0,8815.0
851.0,1,19.0,8834.0
852.0,0,19.0,8853.0
853.0,0,19.0,8872.0
854.0,0,18.0,8890.0
855.0,0,18.0,8908.0
856.0,0,18.0,8926.0
857.0,1,19.0,8945.0
858.0,0,19.0,8964.0
859.0,0,19.0,8983.0
860.0,0,19.0,9002.0
861.0,0,19.0,9021.0
862.0,1,20.0,9041.0
863.0,0,20.0,9061.0
864.0,0,20.0,9081.0
865.0,0,20.0,9101.0
866.0,0,20.0,9121.0
867.0,0,20.0,9141.0
868.0,1,21.0,9162.0
869.0,0,21.0,9183.0
870.0,0,21.0,9204.0
871.0,0,15.0,9219.0
872.0,1,11.0,9230.0
873.0,0,8.0,9238.0
874.0,0,8.0,9246.0
875.0,0,8.0,9254.0
876.0,1,9.0,9263.0
877.0,0,8.0,9271.0
878.0,0,8.0,9279.0
879.0,1,9.0,9288.0
880.0,0,9.0,9297.0
881.0,0,9.0,9306.0
882.0,0,9.0,9315.0
883.0,1,10.0,9325.0
884.0,0,10.0,9335.0
885.0,0,10.0,9345.0
886.0,0,10.0,9355.0
887.0,0,10.0,9365.0
888.0,1,11.0,9376.0
889.0,0,11.0,9387.0
890.0,0,11.0,9398.0
891.0,0,11.0,9409.0
892.0,0,11.0,9420.0
893.0,0,11.0,9431.0
894.0,0,11.0,9442.0
895.0,0,11.0,9453.0
896.0,1,12.0,9465.0
897.0,0,12.0,9477.0
898.0,0,12.0,9489.0
899.0,1,13.0,9502.0
900.0,0,13.0,9515.0
901.0,1,14.0,9529.0
902.0,0,13.0,9542.0
903.0,1,14.0,9556.0
904.0,0,9.0,9565.0
905.0,0,7.0,9572.0
906.0,1,6.0,9578.0
907.0,0,4.0,9582.0
908.0,1,5.0,9587.0
909.0,0,5.0,9592.0
910.0,0,5.0,9597.0
911.0,0,5.0,9602.0
912.0,0,5.0,9607.0
913.0,0,5.0,9612.0
914.0,1,6.0,9618.0
915.0,0,6.0,9624.0
916.0,0,6.0,9630.0
917.0,0,6.0,9636.0
918.0,0,5.0,9641.0
919.0,0,5.0,9646.0
920.0,0,5.0,9651.0
921.0,0,5.0,9656.0
922.0,0,5.0,9661.0
923.0,0,5.0,9666.0
924.0,0,5.0,9671.0
925.0,0,5.0,9676.0
926.0,0,5.0,9681.0
927.0,0,4.0,9685.0
928.0,0,4.0,9689.0
929.0,0,4.0,9693.0
930.0,0,4.0,9697.0
931.0,0,4.0,9701.0
932.0,0,4.0,9705.0
933.0,0,4.0,9709.0
934.0,0,4.0,9713.0
935.0,0,4.0,9717.0
936.0,1,5.0,9722.0
937.0,0,4.0,9726.0
