step_time,reward,total_stopped,total_wait_time,gneJ00_passed,gneJ9_passed
1237.0,0,24,1052.0,467,422
1241.0,0,20,993.0,468,424
1245.0,0,17,963.0,469,426
1249.0,0,14,914.0,471,428
1253.0,0,12,809.0,472,432
1257.0,0,10,606.0,473,434
1261.0,0,10,478.0,475,437
1265.0,0,12,447.0,477,441
1269.0,0,13,464.0,479,443
1273.0,0,9,331.0,480,447
1277.0,0,11,271.0,483,449
1281.0,0,13,317.0,484,450
1285.0,0,14,367.0,486,453
1289.0,0,16,423.0,486,454
1293.0,0,20,493.0,486,456
1297.0,0,22,579.0,486,457
1301.0,0,24,581.0,486,457
1305.0,0,25,625.0,488,457
1309.0,0,26,616.0,489,457
1313.0,0,26,610.0,490,458
1317.0,0,27,597.0,490,462
1321.0,0,29,644.0,492,463
1325.0,0,26,686.0,494,464
1329.0,0,24,727.0,498,464
1333.0,0,25,767.0,500,464
1337.0,0,23,782.0,502,464
1341.0,0,22,809.0,505,465
1345.0,0,21,801.0,508,467
1349.0,0,25,874.0,511,468
1353.0,0,26,947.0,514,469
1357.0,0,20,913.0,516,469
1361.0,0,18,849.0,519,471
1365.0,0,17,819.0,521,475
1369.0,0,13,743.0,522,477
1373.0,0,10,604.0,524,479
1377.0,0,6,517.0,525,482
1381.0,0,10,499.0,528,485
1385.0,0,10,439.0,528,487
1389.0,0,8,308.0,528,490
1393.0,0,8,226.0,530,491
1397.0,0,10,221.0,533,493
1401.0,0,11,273.0,534,494
1405.0,0,16,318.0,535,496
1409.0,0,17,379.0,535,498
1413.0,0,25,462.0,535,499
1417.0,0,25,543.0,535,499
1421.0,0,28,644.0,536,499
1425.0,0,32,774.0,537,499
1429.0,0,31,754.0,537,499
1433.0,0,33,718.0,537,502
1437.0,0,31,794.0,539,504
1441.0,0,27,821.0,541,506
1445.0,0,28,809.0,543,506
1449.0,0,24,845.0,546,506
1453.0,0,25,892.0,549,506
1457.0,0,21,842.0,551,506
1461.0,0,24,888.0,554,508
1465.0,0,26,952.0,557,510
1469.0,0,26,1000.0,560,510
1473.0,0,26,1007.0,562,510
1477.0,0,21,955.0,563,512
1481.0,0,15,900.0,564,515
1485.0,0,14,870.0,565,518
1489.0,0,13,792.0,567,520
1493.0,0,9,602.0,567,524
1497.0,0,8,542.0,569,526
1501.0,0,11,505.0,571,529
1505.0,0,14,518.0,571,531
1509.0,0,10,345.0,572,533
1513.0,0,13,317.0,575,534
1517.0,0,15,355.0,577,535
1521.0,0,17,416.0,577,537
1525.0,0,18,484.0,578,540
1529.0,0,22,563.0,578,542
