step_time,step_stopped,step_wait_time,accumulated_wait_time
369.0,0,9.0,2529.0
370.0,0,9.0,2538.0
371.0,0,9.0,2547.0
372.0,0,9.0,2556.0
373.0,0,9.0,2565.0
374.0,0,9.0,2574.0
375.0,0,9.0,2583.0
376.0,0,9.0,2592.0
377.0,0,9.0,2601.0
378.0,0,9.0,2610.0
379.0,0,9.0,2619.0
380.0,0,9.0,2628.0
381.0,0,9.0,2637.0
382.0,0,9.0,2646.0
383.0,0,9.0,2655.0
384.0,0,9.0,2664.0
385.0,0,9.0,2673.0
386.0,0,9.0,2682.0
387.0,0,8.0,2690.0
388.0,0,7.0,2697.0
389.0,0,6.0,2703.0
390.0,0,5.0,2708.0
391.0,1,6.0,2714.0
392.0,0,5.0,2719.0
393.0,1,6.0,2725.0
394.0,1,7.0,2732.0
395.0,0,6.0,2738.0
396.0,0,6.0,2744.0
397.0,1,7.0,2751.0
398.0,0,7.0,2758.0
399.0,1,8.0,2766.0
400.0,0,8.0,2774.0
401.0,0,8.0,2782.0
402.0,0,8.0,2790.0
403.0,0,8.0,2798.0
404.0,0,8.0,2806.0
405.0,0,8.0,2814.0
406.0,0,6.0,2820.0
407.0,0,6.0,2826.0
408.0,0,6.0,2832.0
409.0,0,6.0,2838.0
410.0,0,6.0,2844.0
411.0,0,6.0,2850.0
412.0,0,6.0,2856.0
413.0,0,6.0,2862.0
414.0,0,6.0,2868.0
415.0,0,6.0,2874.0
416.0,0,6.0,2880.0
417.0,0,6.0,2886.0
418.0,0,6.0,2892.0
419.0,0,6.0,2898.0
420.0,0,5.0,2903.0
421.0,0,4.0,2907.0
422.0,0,3.0,2910.0
423.0,1,3.0,2913.0
424.0,0,2.0,2915.0
425.0,0,2.0,2917.0
426.0,0,2.0,2919.0
427.0,0,2.0,2921.0
428.0,0,2.0,2923.0
429.0,0,2.0,2925.0
430.0,1,3.0,2928.0
431.0,0,2.0,2930.0
432.0,1,3.0,2933.0
433.0,0,2.0,2935.0
434.0,1,3.0,2938.0
435.0,0,3.0,2941.0
436.0,0,3.0,2944.0
437.0,1,4.0,2948.0
438.0,0,3.0,2951.0
439.0,1,2.0,2953.0
440.0,0,2.0,2955.0
441.0,0,2.0,2957.0
442.0,0,2.0,2959.0
443.0,0,2.0,2961.0
444.0,0,2.0,2963.0
445.0,0,2.0,2965.0
446.0,1,3.0,2968.0
447.0,0,3.0,2971.0
448.0,0,3.0,2974.0
449.0,0,3.0,2977.0
450.0,1,3.0,2980.0
451.0,3,6.0,2986.0
452.0,0,5.0,2991.0
453.0,0,5.0,2996.0
454.0,1,6.0,3002.0
455.0,2,8.0,3010.0
456.0,1,8.0,3018.0
457.0,2,10.0,3028.0
458.0,0,10.0,3038.0
459.0,0,10.0,3048.0
460.0,0,10.0,3058.0
461.0,0,10.0,3068.0
462.0,1,11.0,3079.0
463.0,0,11.0,3090.0
464.0,1,12.0,3102.0
465.0,1,12.0,3114.0
466.0,0,12.0,3126.0
467.0,0,12.0,3138.0
468.0,1,13.0,3151.0
469.0,0,13.0,3164.0
470.0,0,13.0,3177.0
471.0,0,13.0,3190.0
472.0,0,13.0,3203.0
473.0,1,14.0,3217.0
474.0,0,14.0,3231.0
475.0,0,14.0,3245.0
476.0,0,14.0,3259.0
477.0,1,15.0,3274.0
478.0,1,15.0,3289.0
479.0,1,16.0,3305.0
480.0,0,15.0,3320.0
481.0,1,16.0,3336.0
482.0,0,16.0,3352.0
483.0,1,17.0,3369.0
484.0,0,17.0,3386.0
485.0,0,17.0,3403.0
486.0,0,17.0,3420.0
487.0,1,18.0,3438.0
488.0,0,18.0,3456.0
489.0,1,18.0,3474.0
490.0,1,19.0,3493.0
491.0,0,19.0,3512.0
492.0,0,19.0,3531.0
493.0,0,19.0,3550.0
494.0,0,19.0,3569.0
495.0,0,19.0,3588.0
496.0,0,19.0,3607.0
497.0,0,19.0,3626.0
498.0,1,20.0,3646.0
499.0,0,20.0,3666.0
500.0,0,20.0,3686.0
501.0,0,20.0,3706.0
502.0,0,20.0,3726.0
503.0,0,20.0,3746.0
504.0,1,21.0,3767.0
505.0,0,21.0,3788.0
506.0,0,21.0,3809.0
507.0,0,21.0,3830.0
508.0,0,21.0,3851.0
509.0,0,21.0,3872.0
510.0,0,21.0,3893.0
511.0,0,15.0,3908.0
512.0,1,12.0,3920.0
513.0,0,10.0,3930.0
514.0,1,11.0,3941.0
515.0,0,10.0,3951.0
516.0,1,11.0,3962.0
517.0,0,11.0,3973.0
518.0,0,11.0,3984.0
519.0,0,11.0,3995.0
520.0,0,11.0,4006.0
521.0,0,11.0,4017.0
522.0,0,11.0,4028.0
523.0,0,11.0,4039.0
524.0,0,11.0,4050.0
